feature_idx,effect_size,p_value,group1_mean,group2_mean,group1_freq,group2_freq
395,-1.7964422734797292,4.3908663251871504e-89,2.177193332935326,0.6064470704983581,0.8979206049149339,0.29829545454545453
28707,1.5337115786107056,5.701186817806932e-75,0.7642853392995823,2.415653897280043,0.3383742911153119,0.8721590909090909
23605,1.4058415745187316,2.2644094327561895e-66,15.037795564402705,17.85623438791795,1.0,1.0
8870,1.0490796042426678,7.998104806347944e-37,0.9419307807893519,2.119488114321774,0.3818525519848771,0.84375
16986,0.9901274029895221,1.9014651708436356e-47,2.144124448862779,3.015444419262084,0.8298676748582231,0.9829545454545454
1895,0.8590221990686269,3.4116727910452694e-38,2.009598984384807,2.9459447721866043,0.77882797731569,0.9375
29282,0.8448373834673869,7.761970126296222e-26,1.9030798058428702,2.811117482456294,0.7069943289224953,0.9801136363636364
9926,0.8175342858316795,9.243938603789972e-28,1.940532669903876,3.6134131635454567,0.6219281663516069,0.8181818181818182
29457,0.8112091726699665,1.124247116635656e-27,4.021574121567162,5.244940206747163,0.9546313799621928,1.0
16237,0.8095705198104924,5.4379067669264815e-17,1.2186090321982515,2.025320071049712,0.5236294896030246,0.8892045454545454
19864,0.7556244795808301,1.9889428041337554e-22,1.1083041449801008,2.248951909894293,0.34593572778827975,0.7556818181818182
30886,0.7294285639608585,2.6312181780690245e-24,1.4717053080326217,2.3084141327576204,0.6030245746691871,0.8636363636363636
32511,0.7079466312218125,9.002908135538219e-21,1.266063462132993,2.157959631220861,0.4877126654064272,0.8153409090909091
15578,0.6944079758336552,2.963864537766225e-23,8.12452173683729,9.23951288109476,1.0,1.0
11511,0.6583595598818965,5.479249887906829e-14,0.7725028459877057,1.474749313836748,0.33459357277882795,0.6789772727272727
27217,-0.641034298236731,6.93147258266585e-17,0.6048134955206079,0.08554568615826694,0.2533081285444234,0.03977272727272727
27437,0.6021683622980786,5.274351388060153e-19,0.1142300288483416,0.5500230640172958,0.05671077504725898,0.26988636363636365
9078,0.5536054389160167,2.0782052838647995e-16,6.731810373034054,8.150009710680354,0.9848771266540642,0.9829545454545454
25773,0.5452385792643989,6.214714462143716e-13,1.285756717332144,2.178860721940344,0.3742911153119093,0.7159090909090909
24405,0.5243825957707998,6.914823099477945e-13,4.663824634425807,5.297659170221198,0.994328922495274,1.0
5509,0.5044628166134641,8.748514394269266e-12,0.7712962740085075,1.3942398625341328,0.29867674858223064,0.5681818181818182
31835,0.47945951428972144,6.208888945477595e-10,1.211153655061199,1.9450828913937916,0.3667296786389414,0.6988636363636364
15962,0.47672510918375227,5.145365775319606e-12,2.5299627501482322,3.3132441328330473,0.7882797731568998,0.8778409090909091
32006,0.47286570609226075,5.472840847546197e-13,0.8580116321999995,1.3967655453492294,0.389413988657845,0.59375
2791,0.4634138477885225,3.4014075219555674e-13,0.0035176655745911916,0.20013431222601372,0.001890359168241966,0.10227272727272728
11551,-0.4096047920687004,2.880893530599073e-09,1.7622686865649737,1.2808570282703096,0.720226843100189,0.5568181818181818
12933,0.3991593290623939,4.538748126060774e-09,0.451909357298074,0.8694544986567714,0.20415879017013233,0.3664772727272727
2354,0.3658518556086114,7.111719558991155e-09,1.6266802328520777,2.0455772294239565,0.6691871455576559,0.8039772727272727
20182,0.3603927103207843,9.910944779361639e-08,0.1158404501264172,0.35406988046386023,0.05671077504725898,0.16477272727272727
16586,0.3429745526343181,6.923732767484638e-08,0.007036814617524751,0.1283157362856648,0.003780718336483932,0.06534090909090909
4388,-0.29544070862435573,0.0049048192125086595,4.265953794994967,4.058436588807539,1.0,1.0
16189,0.2814794369991498,1.7822668821069006e-05,0.09287475390335112,0.3285410285673358,0.034026465028355386,0.10511363636363637
11554,-0.28079548135463994,0.00019450445365040383,0.09495737850102676,0.005393890833312815,0.045368620037807186,0.002840909090909091
18891,0.2797346156823007,1.564597628509463e-05,0.05397522584702432,0.18584117801351982,0.026465028355387523,0.09375
14852,0.2728882766879316,0.00018128861440433596,0.8282479892831669,1.1545519862662663,0.3383742911153119,0.4914772727272727
18432,-0.25269776486638584,0.0008958876804276145,2.466883854965181,2.239253392951055,0.9376181474480151,0.8721590909090909
23439,0.2470571593171302,0.00015706986611378247,0.8145258489763805,1.0912568230520596,0.3761814744801512,0.4772727272727273
8144,-0.24281338949873502,0.00010878209270750091,3.775312836093578,3.6202617876909,0.998109640831758,1.0
29847,0.24063732159991355,0.0008005030627615574,0.9058296011165771,1.185036920688369,0.4007561436672968,0.5142045454545454
15278,-0.21758924069497645,0.001805592332025885,1.6914011095782535,1.295787586407228,0.499054820415879,0.3977272727272727
26971,-0.20092550897656608,0.0011496876591434455,2.6069790151934993,2.2995775159109724,0.8412098298676749,0.7727272727272727
29519,0.18828845904615724,0.0048558546983316665,0.06910742005238235,0.15713019973852418,0.034026465028355386,0.07670454545454546
24282,0.1710740315221811,0.0013027988624361912,2.7055048570741103,2.9086914391002874,0.8960302457466919,0.9090909090909091
1666,-0.16463053834653316,0.023848508429196422,0.05245325290413119,0.011388629336248745,0.026465028355387523,0.005681818181818182
23377,-0.15788566549770383,0.03162283331240033,0.08772469107730628,0.033425973558967766,0.043478260869565216,0.017045454545454544
7940,-0.15370479290372294,0.0304108143169213,0.03603775514772123,0.0,0.013232514177693762,0.0
23165,0.1512271033887946,0.014095140371770494,0.0,0.02338839762590148,0.0,0.011363636363636364
21707,0.14942485500628042,0.014095140371770494,0.0,0.025822820988568394,0.0,0.011363636363636364
