feature_idx,effect_size,p_value,group1_mean,group2_mean,group1_freq,group2_freq
25767,0.3703025848611203,1.694900308083879e-07,0.033870216578752194,0.23975164340092586,0.015122873345935728,0.09743589743589744
7185,0.28962763453803503,0.0002565452624235105,0.1287308685720981,0.3279859273861616,0.05860113421550094,0.13846153846153847
3282,-0.27813194237254607,0.002798554963810237,3.9592917614487932,3.7683355160248584,1.0,0.9948717948717949
9919,-0.24078116026585755,0.012938691353015697,2.049053198899123,1.7415698785048264,0.7580340264650284,0.6461538461538462
29981,0.22452793351726766,0.00821381031888001,0.2443988976721953,0.44017908145219853,0.10396975425330812,0.16923076923076924
3303,-0.22294217836095434,0.0019873954031436516,2.3060832722200564,2.1387306702442657,0.9300567107750473,0.8769230769230769
18479,-0.2045664462757868,0.01657734673963243,1.9608092006077613,1.7113702346117068,0.7466918714555766,0.6615384615384615
25066,-0.1824099799318978,0.02576377764422215,0.9195428074870984,0.7120850330744034,0.3799621928166352,0.30256410256410254
19772,0.17616033161261124,0.025473121431736846,1.8593132275038722,2.1114946291996883,0.6465028355387523,0.7128205128205128
7652,0.16779819982598312,0.02580014904594097,0.03652707615511629,0.09957445462544759,0.017013232514177693,0.046153846153846156
18954,0.1640212790548919,0.03499537051699253,0.17362805710848428,0.29048114189734825,0.07183364839319471,0.12307692307692308
908,-0.16244228249119522,0.07279877354619735,0.11189860432269667,0.04560268108661358,0.05103969754253308,0.020512820512820513
17816,-0.15123036771423462,0.1359451321289141,0.02534765602284884,0.0,0.011342155009451797,0.0
7900,0.145495958961501,0.042860579649892025,0.09147660944096758,0.17318675823700733,0.035916824196597356,0.07179487179487179
7704,0.14396185776249223,0.01987455506640026,0.0,0.026128112352811372,0.0,0.010256410256410256
30656,0.1370370819036335,0.09672815974119466,0.3235797034770194,0.4409927869454408,0.14366729678638943,0.18974358974358974
5686,-0.12903720326591706,0.14031401156686216,0.12103308756995967,0.06167120566734901,0.05103969754253308,0.02564102564102564
19568,0.1215612472805108,0.18665963549026687,0.6432408506793651,0.7785155137379964,0.27032136105860116,0.31794871794871793
2301,-0.11201915807701703,0.22601499528022828,0.036308089366256624,0.011192414699456631,0.017013232514177693,0.005128205128205128
12522,-0.10734447124225574,0.22601499528022828,0.05721918801954879,0.018383189959403797,0.017013232514177693,0.005128205128205128
1884,-0.1014163443090801,0.280604295231204,0.05046063289750501,0.021985215407151443,0.022684310018903593,0.010256410256410256
23378,-0.09445235854131633,0.16566553326291478,2.389299519796678,2.2266204638358875,0.6918714555765595,0.6717948717948717
4404,-0.0913544220323392,0.2720831697743439,0.679471824029443,0.5754612922668457,0.2551984877126654,0.2205128205128205
31745,-0.09000896871854124,0.3726651540822258,2.133709751139967,2.0152811429439446,0.7504725897920604,0.7128205128205128
7740,0.07727691264067148,0.2980971734781822,0.00801086290572226,0.021620659950451974,0.003780718336483932,0.010256410256410256
24600,-0.07713676701846703,0.43209625285890074,0.16609378347775436,0.12331912211882762,0.07183364839319471,0.05641025641025641
6277,-0.07465115192072666,0.3927533160828077,0.12738033999567447,0.09131843126737155,0.05671077504725898,0.041025641025641026
28400,0.07335892368235895,0.34086706447966963,0.01618060768213975,0.03287694393060146,0.007561436672967864,0.015384615384615385
31633,0.07092178986321954,0.633082676846026,1.1372094645617363,1.2241584508846968,0.46313799621928164,0.5128205128205128
8715,0.0704321992664955,0.38690910560205893,1.6010844184680788,1.6878984329028008,0.6332703213610587,0.6666666666666666
2952,0.06925712146773148,0.34206650393859706,0.01690432119459646,0.03294013463533842,0.007561436672967864,0.015384615384615385
24223,-0.06849121988166414,0.5992040363400366,3.5424448966078588,3.5075749605129927,1.0,0.9948717948717949
20835,-0.06707249825552815,0.2552285044773781,2.725452186479911,2.6717376929063064,0.9395085066162571,0.9384615384615385
2083,-0.062091788408922474,0.3764508538751734,7.2357897195112955,7.1472502341637245,1.0,1.0
28871,-0.05947475794894972,0.5111843141945229,0.38766323370834377,0.33896909982730183,0.17580340264650285,0.15384615384615385
5125,0.05556236459940347,0.6951970739403939,2.534118830368965,2.59734277236156,0.8638941398865785,0.8769230769230769
32194,-0.05425619425728941,0.6177033078699853,5.123250759391568,5.102512555244641,1.0,1.0
7847,-0.05410776877172134,0.6935247193230918,1.4965388846983305,1.4247934170258352,0.5803402646502835,0.5435897435897435
13372,0.05093229083154134,0.5144466142052985,0.28509642631660564,0.32344904434986604,0.1323251417769376,0.14871794871794872
27170,0.050092771225653934,0.5054738619279562,0.020615899044534435,0.03247549350445087,0.00945179584120983,0.015384615384615385
11129,0.04369646309588068,0.3006495627446777,1.9070191487022068,1.9625134162413769,0.7164461247637051,0.7128205128205128
12388,-0.04368999384026772,0.5852399864738314,0.372062358603811,0.33605895653749124,0.16446124763705103,0.14871794871794872
6116,0.041003490173017174,0.49817702074060366,3.374166513886479,3.396598105552869,0.996219281663516,0.9948717948717949
2337,-0.03623405618674113,0.7257527207046637,0.08065945845245188,0.06629462731190217,0.035916824196597356,0.03076923076923077
16146,-0.03137516967391941,0.7261452818359071,0.10992755556376986,0.09492638539045285,0.04725897920604915,0.041025641025641026
