layer,rank,feature_idx,direction,correct_mean_act,incorrect_mean_act,correct_freq,incorrect_freq,freq_diff,mean_diff,effect_size,p_value
0,0,12043,uncertainty,0.3377581699481752,0.5158321613996801,0.3620885357548241,0.47417840375586856,0.11208986800104448,0.17807399145150493,0.3322484924034656,4.4870349071624954e-05
0,1,26376,confidence,1.989492988207554,1.966294742526023,1.0,1.0,0.0,-0.02319824568153095,-0.2916409441617252,0.00037201875942645125
0,2,29584,confidence,0.6385642885485248,0.5119948985990784,0.626560726447219,0.5117370892018779,-0.11482363724534117,-0.12656938994944633,-0.24737143452348043,0.0023450939299886984
0,3,15718,confidence,1.4217993122494856,1.3577944143837046,0.9875141884222475,0.9765258215962441,-0.010988366826003348,-0.06400489786578101,-0.2219486781346757,0.008469036460580816
0,4,25400,confidence,2.79840944303151,2.773904912348644,1.0,1.0,0.0,-0.024504530682865955,-0.20050005351690056,0.007495819717721258
0,5,26326,confidence,0.35032547095306343,0.2679916597867796,0.39841089670828606,0.30985915492957744,-0.08855174177870861,-0.08233381116628385,-0.1962581658100414,0.00783895425401828
0,6,27360,uncertainty,2.136527470643891,2.157290474909572,1.0,1.0,0.0,0.020763004265680784,0.18544668505432785,0.05522607215507316
0,7,2034,uncertainty,0.0010246897663891519,0.01784444247053263,0.0011350737797956867,0.018779342723004695,0.01764426894320901,0.016819752704143476,0.1785734123099117,0.0006183892586543252
0,8,31195,confidence,0.4017323272452858,0.32719767877193684,0.4426787741203178,0.3615023474178404,-0.08117642670247743,-0.07453464847334895,-0.16654921815747104,0.04266620100168864
0,9,1770,confidence,1.8723199722038901,1.851185720851164,1.0,1.0,0.0,-0.021134251352726174,-0.15295006855942728,0.0868662305279352
0,10,22774,confidence,0.9225657415850074,0.8878940707641029,0.9568671963677639,0.9342723004694836,-0.02259489589828023,-0.0346716708209045,-0.14875571209820676,0.01683034902401538
0,11,6419,confidence,0.15145914873930708,0.10847459992332638,0.18615209988649262,0.13615023474178403,-0.050001865144708585,-0.0429845488159807,-0.14519625033501216,0.05612654595253086
0,12,32574,uncertainty,0.0028510118721562536,0.01490745550030274,0.00340522133938706,0.018779342723004695,0.015374121383617635,0.012056443628146486,0.14396640788167905,0.011512241681295547
0,13,27050,confidence,0.008202317556647519,0.0,0.01021566401816118,0.0,-0.01021566401816118,-0.008202317556647519,-0.1435728567076485,0.13894136020824535
0,14,29754,confidence,1.0258884354833848,1.0023062257139896,0.9909194097616345,0.9812206572769953,-0.00969875248463925,-0.02358220976939518,-0.14350257743914058,0.0750640174934178
0,15,1812,uncertainty,1.3636969084366226,1.3735613878903814,1.0,1.0,0.0,0.00986447945375879,0.13760614157857048,0.07951808059197128
0,16,6733,uncertainty,10.104256535767156,10.152984892258623,1.0,1.0,0.0,0.04872835649146623,0.13560710929608055,0.2304813722654987
0,17,25169,uncertainty,1.3387602845060975,1.348734845577831,1.0,1.0,0.0,0.009974561071733445,0.1250497608350584,0.10583671689475004
0,18,15923,uncertainty,0.6720814368646343,0.7137187131693665,0.7832009080590239,0.8309859154929577,0.04778500743393388,0.04163727630473224,0.12160491273974082,0.21526221531559464
0,19,23000,uncertainty,0.8758944361623922,0.9017995055852361,0.9387060158910329,0.9624413145539906,0.02373529866295776,0.025905069422843985,0.11904251690291459,0.1732735019422471
0,20,28193,uncertainty,0.007180631093080415,0.01907881688623921,0.009080590238365494,0.023474178403755867,0.014393588165390374,0.011898185793158794,0.1166812205441087,0.08037633727800232
0,21,119,uncertainty,0.45961175759182343,0.5264821732547921,0.3938706015891033,0.4507042253521127,0.05683362376300938,0.06687041566296864,0.1130755952732292,0.12926380453725697
0,22,26663,uncertainty,1.6427584448142165,1.6607373807351913,1.0,1.0,0.0,0.01797893592097477,0.1127817068309598,0.1156701177544103
0,23,24970,confidence,3.592678182918016,3.552406300961132,1.0,1.0,0.0,-0.04027188195688414,-0.10814675522237703,0.14492418810899477
0,24,9915,uncertainty,0.8983067256503154,0.9312806375709498,0.9216799091940976,0.9154929577464789,-0.006186951447618716,0.03297391192063437,0.10620751388649036,0.00767170950971924
0,25,5904,uncertainty,3.239441242715963,3.252545303022358,1.0,1.0,0.0,0.013104060306394771,0.10536155481860822,0.22186111629015426
0,26,7986,confidence,1.7431243054577223,1.7339377168198706,1.0,1.0,0.0,-0.009186588637851711,-0.10373997367500896,0.24351178747343083
0,27,30437,confidence,2.962630478261413,2.93961943706996,1.0,1.0,0.0,-0.023011041191452808,-0.10276380106381629,0.2334070208371345
0,28,14505,confidence,4.265700971092458,4.23130705546885,1.0,1.0,0.0,-0.03439391562360772,-0.10240116777970215,0.2472434164985542
0,29,32688,confidence,4.415232836997197,4.3771387892709654,1.0,1.0,0.0,-0.03809404772623193,-0.098339372726663,0.0839243385196356
0,30,4096,uncertainty,0.911012866034275,0.9544130004067936,0.8297389330306469,0.8544600938967136,0.024721160866066683,0.04340013437251855,0.09680932086101202,0.11914394183443024
0,31,588,uncertainty,0.004055527228096692,0.011708019205102338,0.004540295119182747,0.014084507042253521,0.009544211923070775,0.007652491977005646,0.09411987264423423,0.1198037215196792
0,32,16169,uncertainty,1.1646114714299916,1.1720649093529427,1.0,1.0,0.0,0.007453437922951167,0.09228908297677678,0.2578637081060663
0,33,17177,confidence,0.8571765767188403,0.8342445554307929,0.9443813847900113,0.9107981220657277,-0.03358326272428358,-0.02293202128804739,-0.09158519141785253,0.8175535322433274
0,34,9617,uncertainty,1.458518224190096,1.4965553440398454,0.9863791146424518,0.9859154929577465,-0.0004636216847052621,0.038037119849749335,0.09137116012960517,0.18332565167504833
0,35,11196,confidence,3.1869237874882987,3.17692549687596,1.0,1.0,0.0,-0.00999829061233859,-0.0913538915601572,0.6180994167904852
0,36,10380,uncertainty,1.4189611695004918,1.4297275783870143,1.0,1.0,0.0,0.010766408886522472,0.08926617462917981,0.22683787173420433
0,37,31929,confidence,2.2523137004908587,2.241868254164575,1.0,1.0,0.0,-0.010445446326283747,-0.08904993900899227,0.308163728300872
0,38,28286,uncertainty,2.308429718017578,2.31640731896593,1.0,1.0,0.0,0.00797760094835187,0.0874521536745295,0.0747090010037865
0,39,24459,uncertainty,0.004540141879091468,0.011565877238349736,0.0056753688989784334,0.014084507042253521,0.008409138143275088,0.007025735359258268,0.08702250267178062,0.19577720791655495
0,40,4918,confidence,0.15970261257974838,0.13271777758575942,0.19750283768444948,0.1643192488262911,-0.03318358885815839,-0.02698483499398896,-0.08672107443116389,0.27714528384830517
0,41,8249,uncertainty,2.1826157361505794,2.1932257553781143,1.0,1.0,0.0,0.010610019227534906,0.08496141508264281,0.25837236266740216
0,42,22264,uncertainty,1.3243915442711378,1.3339068990358165,1.0,1.0,0.0,0.009515354764678685,0.08472070866501742,0.5296377035453294
0,43,30462,confidence,1.541149267679446,1.53279834006314,1.0,1.0,0.0,-0.00835092761630607,-0.08344726130558312,0.295492411822441
0,44,10118,uncertainty,0.2569662860249012,0.29009275005456986,0.30419977298524403,0.3427230046948357,0.038523231709591654,0.03312646402966868,0.08337439388557827,0.2810301609222895
0,45,27323,uncertainty,0.38213698154951736,0.4187525141407067,0.44040862656072643,0.47417840375586856,0.033769777195142126,0.036615532591189326,0.08337235253201691,0.16965628758198426
0,46,1449,uncertainty,2.684443788414781,2.7056632394522007,1.0,1.0,0.0,0.021219451037419734,0.08087453477485912,0.2222270606445682
0,47,16222,uncertainty,0.8714554263839116,0.8904996687817461,0.9250851305334846,0.9530516431924883,0.02796651265900363,0.019044242397834532,0.07982991624949846,0.6928874772272846
0,48,30220,confidence,0.03855967494605213,0.026204179989899826,0.04880817253121453,0.03286384976525822,-0.01594432276595631,-0.012355494956152301,-0.07873666435652577,0.3203506740301926
0,49,20375,confidence,1.165092756204248,1.1411961255498895,0.9738933030646992,0.9812206572769953,0.007327354212296022,-0.02389663065435843,-0.07845877377995367,0.0981402315477097
0,50,21562,uncertainty,1.631424243414984,1.6385322960329727,1.0,1.0,0.0,0.007108052617988747,0.0775950489010411,0.36622403930291925
0,51,2331,uncertainty,0.10461427032879884,0.12629176669277495,0.13053348467650397,0.15492957746478872,0.02439609278828475,0.021677496363976104,0.07658007780262953,0.25520799908212866
0,52,29665,confidence,0.08652021672479411,0.068404582184805,0.10669693530079455,0.08450704225352113,-0.022189893047273423,-0.018115634539989114,-0.07601661868229398,0.354528058353479
0,53,22056,confidence,1.9175570215459037,1.9072665317517492,1.0,1.0,0.0,-0.010290489794154478,-0.07425334610096776,0.3569407343981882
0,54,603,confidence,0.15748515992375697,0.13466127293770302,0.19182746878547105,0.1643192488262911,-0.027508219959179958,-0.02282388698605395,-0.07261415251589283,0.3623267800801828
0,55,11507,confidence,1.9986598268404991,1.9914004058345383,1.0,1.0,0.0,-0.007259421005960887,-0.06874322250675183,0.3047348964350314
0,56,29315,uncertainty,0.2332446577194465,0.25842621096982643,0.2746878547105562,0.3051643192488263,0.03047646453827013,0.025181553250379934,0.06526972114050776,0.3915600536587881
0,57,4883,uncertainty,1.8351560136922778,1.8392124886803785,1.0,1.0,0.0,0.004056474988100689,0.0635581950146784,0.5912884731034059
0,58,11271,confidence,3.9290310156602457,3.9222368410495525,1.0,1.0,0.0,-0.006794174610693204,-0.06281647474433007,0.4373374989505159
0,59,32208,uncertainty,2.415194757138966,2.4225015931286165,1.0,1.0,0.0,0.007306835989650651,0.05971174581689866,0.41072832725385744
0,60,7231,uncertainty,0.9063785128912779,0.934305984369466,0.8172531214528944,0.8215962441314554,0.004343122678560962,0.02792747147818808,0.05939196581800411,0.22441787792736823
0,61,4891,confidence,2.157581310131493,2.150775737605744,1.0,1.0,0.0,-0.006805572525748982,-0.059097599573253376,0.4165260890394423
0,62,1955,confidence,0.34412130331208296,0.31992867071303965,0.3938706015891033,0.36619718309859156,-0.027673418490511748,-0.024192632599043307,-0.05684805703552286,0.447585451820233
0,63,17457,confidence,0.6365549909405487,0.6158724841377545,0.7548240635641317,0.7370892018779343,-0.017734861686197423,-0.020682506802794154,-0.056185638821228734,0.09840052592679219
0,64,8937,uncertainty,2.067935039453149,2.0856677942992374,1.0,1.0,0.0,0.017732754846088383,0.05231904664020998,0.5242710080223909
0,65,3275,uncertainty,0.26702394990184924,0.2863245598027404,0.3280363223609535,0.3474178403755869,0.019381518014633392,0.019300609900891164,0.04972091114240704,0.40458239735408874
0,66,12127,uncertainty,0.029658358768220656,0.03719658778866692,0.03745743473325766,0.046948356807511735,0.009490922074254074,0.007538229020446263,0.04732144645829833,0.5205866788132094
0,67,24867,uncertainty,3.0383144951299697,3.0430628268371724,1.0,1.0,0.0,0.004748331707202791,0.043246973571180986,0.5666601122834585
0,68,5774,confidence,0.29279622641919556,0.2754406931814453,0.3439273552780931,0.323943661971831,-0.019983693306262096,-0.017355533237750242,-0.04308092280430742,0.607535878802909
0,69,5709,uncertainty,7.635463049950313,7.650132938170097,1.0,1.0,0.0,0.014669888219784433,0.042381578956583676,0.4804065153231786
0,70,32213,uncertainty,2.6608435176693486,2.667100838092571,1.0,1.0,0.0,0.006257320423222357,0.04235024776213922,0.3865615396912613
0,71,21068,confidence,0.015471626694708487,0.011153804864122274,0.019296254256526674,0.014084507042253521,-0.005211747214273152,-0.004317821830586214,-0.0422408786245337,0.6091193241963904
0,72,29610,uncertainty,0.5505498555678109,0.5722017450511735,0.5391600454029511,0.5586854460093896,0.01952540060643848,0.021651889483362607,0.04160897097183896,0.47114978460714774
0,73,30988,confidence,0.8762463607257666,0.8334727522353051,0.4052213393870602,0.38967136150234744,-0.01554997788471274,-0.04277360849046141,-0.040480948330587636,0.38496382352934655
